정류소번호,정류소명,총계,성인 승차 인원,청소년 승차 인원,어린이 승차 인원,위도,경도
2209,5.18자유공원,324336,158734,89419,76184,35.14786447,126.84041944
1163,학동무등파크,323919,247272,63322,13325,35.13265278,126.93157778
4204,매곡대화아파트,317532,247653,52249,17629,35.19210010,126.89223500
4402,유창아파트,316401,298968,16113,1319,35.17711111,126.89703889
5402,쌍암공원,315951,179798,75694,60459,35.22200043,126.84088965
2261,풍암사거리(동),315618,182804,94389,38426,35.12180977,126.86112778
3207,남광주농협,314502,255897,56592,2013,35.13387151,126.90674894
1008,대인시장(동),310527,269097,39824,1606,35.15362368,126.91980422
4251,고려고,309503,234126,71740,3637,35.19319995,126.89851617
4152,동림푸른마을,307607,260693,43838,3076,35.18713056,126.86473056
3119,라인효친,306812,228621,75835,2356,35.12761987,126.91799808
2168,양동시장역(북),305448,297658,7143,647,35.15406914,126.90118200
2305,염주사거리(동),303944,250264,52092,1588,35.14271000,126.87581000
3242,진월대주아파트,303239,244076,54825,4337,35.12125117,126.89851465
1162,무등산국립공원(증심사),301372,237929,33874,29569,35.13419167,126.95526380
1114,금남로5가역,298166,282821,14427,917,35.15298400,126.91088600
4361,오치한전,296258,244057,49163,3038,35.18559839,126.90562443
1126,예술의거리입구,292903,272043,19954,905,35.15104444,126.91631111
4566,서방시장(남),292862,264808,25298,2755,35.16634313,126.91981849
3007,농산물공판장,291458,195857,49893,45708,35.18475800,126.93222250
4469,교통연수원입구,290686,89358,151657,49671,35.21509104,126.90015162
4249,현대아파트,288391,259909,25940,2543,35.17905833,126.91751389
2003,광천파출소,284289,257373,24718,2198,35.16433600,126.88360000
4154,동천마을1단지,279590,248291,29431,1868,35.17211353,126.86001868
2306,염주사거리(서),278755,228295,47430,3030,35.14327733,126.87443458
4174,무등도서관,278593,249261,27237,2095,35.17440439,126.92650412
5304,신가동,274658,240029,31832,2798,35.17919134,126.82571782
1129,전남여고,272280,229437,41249,1594,35.15086082,126.92023410
5172,보건대입구,272248,231974,39628,647,35.19320672,126.84934253
4346,전남대,272213,250904,20592,717,35.17009722,126.90382222
5743,광주농수산물유통센터(북),271316,219049,48773,3494,35.18506600,126.81971300
1113,금남로5가역,270003,255729,13081,1193,35.15281800,126.91160500
2100,대동고,267979,118939,86535,62505,35.11359568,126.84845920
3235,대성여고,267603,197780,65878,3944,35.11800804,126.89849453
4448,운암시장,264733,225657,37196,1880,35.17438300,126.88236900
4418,문화중,264375,226338,33811,4226,35.17759722,126.92363889
4147,동림교,263528,180662,53380,29487,35.17513333,126.86393056
4449,운암시장,260883,194983,64664,1235,35.17451811,126.88271044
2085,쌍촌시영아파트,260784,228125,30239,2420,35.14496111,126.86866111
3080,양림휴먼시아1차,259905,227820,29541,2544,35.13405189,126.91309435
5310,어등초교,258913,215128,41384,2401,35.16414033,126.80833380
4342,신안사거리,256756,240677,14147,1932,35.16539986,126.90428879
5316,월곡시장,255767,232833,21906,1027,35.17118889,126.80939167
4457,운암우미아파트,253330,222731,29213,1385,35.18323056,126.87142222
1099,지원2동주민센터,252366,185664,39245,27457,35.12094927,126.93345911
5711,성덕교,250944,202042,43108,5794,35.19059782,126.82504804
2263,풍암우미아파트,250044,207276,38251,4517,35.12655159,126.88260862
5315,월곡시장,250009,225282,23106,1622,35.17148889,126.80913532
4416,말바우시장(서),249908,236170,12322,1417,35.17151944,126.92113611
1007,대인시장(동),248740,227744,20357,640,35.15382470,126.91972269
5305,운남삼성아파트,248681,203298,41980,3402,35.17457002,126.81776831
2013,CBS방송국,248660,210442,34629,3589,35.14056100,126.85882600
4534,유동사거리,248500,231832,14956,1712,35.15973056,126.90658333
4474,일곡사거리,247407,197162,45755,4491,35.20361600,126.89855700
1090,주남,245729,120887,65167,59675,35.10248260,126.93952596
4513,광주일고,239073,212675,25391,1007,35.15506944,126.90769722
2310,염주체육관,238536,193581,35464,9491,35.13818157,126.87738363
1045,전남대병원오거리,238369,219948,15730,2691,35.14398990,126.92127596
4030,롯데칠성,238049,197683,38154,2213,35.19884167,126.87582500
5404,월계중,236180,167315,51945,16920,35.21889400,126.83322200
3125,봉선삼익아파트(남),235319,197946,29532,7841,35.12440000,126.91221100
4238,문흥중,235123,133630,86348,15145,35.18655627,126.92001235
3185,월산5동,233193,206452,25423,1318,35.14215934,126.89280642
4410,전남대후문위,231461,207011,22939,1510,35.17841067,126.91222548
4244,문흥명지아파트,231432,190262,36027,5144,35.18419751,126.92364587
2155,화훼단지,231072,129181,52219,49672,35.11670000,126.85504300
5011,송정초교,230611,152137,54685,23789,35.13257689,126.79559933
4173,각화무등파크,229984,151424,46753,31808,35.17863056,126.93494722
3183,신우아파트,228545,207692,19326,1527,35.13892895,126.89572816
4209,용봉주공,227488,190259,33930,3300,35.18726389,126.89656667
3184,신우아파트,225812,202755,21985,1072,35.13869473,126.89544233
4188,두암주공입구,225698,200936,23028,1734,35.16612778,126.93232222
5273,광주여대,225413,203747,20048,1618,35.16535953,126.80163054
4426,현대아파트,225392,203696,18131,3565,35.17892778,126.91861111
3210,대광여고,224387,166154,55521,2712,35.12684766,126.89747173
3267,조각배어린이공원,222183,175023,26698,20463,35.10283119,126.90279357
2317,만호초교,221870,150863,46955,24052,35.13188400,126.85570000
1057,법원입구,221202,205614,14448,1141,35.15172134,126.93089023
2230,계수초교,220601,126884,55412,38305,35.15507900,126.84553600
4488,향토음식박물관,218288,139288,76948,2052,35.20223328,126.89631715
1050,서남동주민센터,216542,171373,30473,14696,35.14500775,126.92377892
2240,한국수자원공사,216149,156180,39020,20948,35.15252425,126.84806377
5186,신가주공아파트,215374,174570,36480,4324,35.18447371,126.83241783
1167,홍림교,213797,169761,29484,14552,35.13208611,126.93534444
5017,동곡,212976,145335,36338,31303,35.09810127,126.77512922
4228,문산중,211823,112297,53206,46321,35.19099722,126.92403611
3138,대성초교,210453,193628,14783,2043,35.14321242,126.90584539
4248,주공아파트,210094,190119,17609,2366,35.17981667,126.91513611
3078,양림휴먼시아2차,209872,181183,26599,2091,35.13524412,126.91770478
1003,광주고,209542,184200,24259,1084,35.15734444,126.92048927
4425,북구우산동주민센터,207964,191684,15138,1143,35.17051374,126.92167117
3081,양림휴먼시아1차,207872,172684,32239,2949,35.13443408,126.91385153
4458,운암중,207560,159292,46800,1468,35.18115292,126.87382214
1083,녹동,207074,108714,52579,45782,35.10578041,126.93774474
2213,농협운천지점,206800,161468,38332,7001,35.14873039,126.84807076
5158,광주송정역,206565,186690,17876,2000,35.13819297,126.79176819
2303,염주맨션,205580,161379,43105,1096,35.14319664,126.88001015
4160,덕산아파트,204885,184250,19839,796,35.16895556,126.93163611
4128,한국광기술원,204875,106781,52147,45947,35.23295833,126.85843611
5309,어등초교,204533,172788,30229,1517,35.16459969,126.80871178
5217,광산구청,204351,167093,24961,12296,35.14008534,126.79342375
4409,전남대후문(북),203322,172150,30037,1135,35.17685292,126.91243908
4007,고내입구,203182,89093,59151,54939,35.23800462,126.86047021
2192,버들마을,202888,174928,26250,1711,35.16185029,126.86271667
4573,양산택지사거리,202855,156280,40489,6086,35.21048666,126.87939101
3214,봉선대화아파트,202611,168936,29243,4433,35.12619020,126.90597664
4079,양산호수공원,202555,173620,27416,1518,35.20453129,126.87350066
5112,신창중,201678,151917,46634,3127,35.19359783,126.83763985
2269,풍암한신아파트,201620,157407,40028,4185,35.12266358,126.87671781
4193,율곡초교,201454,176643,20952,3859,35.16101944,126.93513056
4205,매곡삼익아파트,199850,167270,27939,4641,35.18824444,126.89427778
3228,광주대입구,199406,162513,30205,6688,35.11255001,126.89686217
4552,효동초교입구,199190,180349,17072,1769,35.17070672,126.91126321
5192,신창동우체국,198982,163441,33423,2118,35.18913569,126.83687614
2301,서광주우체국,198646,150188,47280,1178,35.14639700,126.87259900
2058,서광주한전,198635,182246,15302,1087,35.15087500,126.89281111
5431,무양서원입구,198295,151055,45862,1378,35.21075556,126.84266667
3107,모아2차아파트,197538,169120,26330,2088,35.12795817,126.91415948
3079,양림휴먼시아2차,197243,163749,29554,3940,35.13551360,126.91750402
2244,동명회/송원고,197030,84083,99759,13188,35.11410000,126.87055556
2163,돌고개역(동),196869,176497,18788,1584,35.15220731,126.89712932
4158,시립장애인복지관,195898,168219,25600,2079,35.18625278,126.86765278
4367,자연과학고,195558,124991,60542,10024,35.18701256,126.91412280
4058,신흥택시,192359,163026,27478,1855,35.20851126,126.87362854
2084,쌍촌시영아파트,192327,167020,23209,2098,35.14519300,126.86942800
2236,운천초교,191399,127956,43709,19734,35.15347189,126.84752253
5295,목련마을,191185,161690,27644,1850,35.17946692,126.82114685
4512,광주일고,190946,166389,23668,889,35.15526315,126.90793985
4419,문화중,190710,165131,23442,2137,35.17749722,126.92346389
4421,서방시장(남),189709,176617,12340,752,35.16632222,126.91944722
4250,고려고,189191,104918,81300,2973,35.19371100,126.89940600
1004,광주고,189102,152513,35727,862,35.15818377,126.92068602
2267,풍암한국아파트,189088,152526,33865,2698,35.12100584,126.88114971
1026,산수오거리,186958,171076,14524,1359,35.15565072,126.93192510
1139,남광주사거리,186789,173056,12568,1166,35.13824722,126.92362778
5736,수완양우내안애,186789,140289,33766,12734,35.19969500,126.81497900
3254,봉선2동주민센터,186646,143999,27769,14878,35.12304800,126.91569800
